"","x"
"167",1.03714073352812e-05
"168",1.03935424108297e-05
"169",1.04479183122486e-05
"170",1.04190292332782e-05
"171",1.03960543215033e-05
"172",1.03430098475357e-05
"173",1.03416076772314e-05
"174",1.05211770979942e-05
"175",1.05330879046477e-05
"176",1.05576528334662e-05
"177",1.05743006904105e-05
"178",1.05716910804015e-05
"179",1.05991966208782e-05
"180",1.06744979497606e-05
"181",1.06072212808491e-05
"182",1.06305329728125e-05
"183",1.06364032612447e-05
"184",1.05478019036706e-05
"185",1.05958929875249e-05
"186",1.05224561089376e-05
"187",1.06018691000794e-05
"188",1.0578227160954e-05
"189",1.06780394411855e-05
"190",1.07513445756367e-05
"191",1.07528573952496e-05
"192",1.0738301815043e-05
"193",1.08020691667331e-05
"194",1.08637406864948e-05
"195",1.07992788330403e-05
"196",1.07057545991732e-05
"197",1.07579323804514e-05
"198",1.07965693786758e-05
"199",1.08702181864161e-05
"200",1.09214605176294e-05
"201",1.10104954067958e-05
"202",1.105634175742e-05
"203",1.10319591789176e-05
"204",1.10441938493919e-05
"205",1.11131206874988e-05
"206",1.10676026383822e-05
"207",1.10386724121845e-05
"208",1.11193332708061e-05
"209",1.11722580812022e-05
"210",1.12149906941329e-05
"211",1.12099558835025e-05
"212",1.11827520287534e-05
"213",1.11945454715609e-05
"214",1.11603648870569e-05
"215",1.12076033419587e-05
"216",1.11569976755627e-05
"217",1.11424409381783e-05
"218",1.11681041102158e-05
"219",1.11307468889701e-05
"220",1.12130011029465e-05
"221",1.12849111977005e-05
"222",1.13913610846888e-05
"223",1.13726307909414e-05
"224",1.13657156781044e-05
"225",1.14129665461739e-05
"226",1.13596865257292e-05
"227",1.13581431477746e-05
"228",1.13741189015896e-05
"229",1.14018781526861e-05
"230",1.14153451050097e-05
"231",1.12972491692341e-05
"232",1.12746813422669e-05
"233",1.12406729710124e-05
"234",1.12039429782765e-05
"235",1.12255682344546e-05
"236",1.12759429776306e-05
"237",1.13011105258978e-05
"238",1.1277907231156e-05
"239",1.12618607613475e-05
"240",1.12887376764328e-05
"241",1.12336635984746e-05
"242",1.11999004421078e-05
"243",1.12127671052743e-05
"244",1.11082125073046e-05
"245",1.11109033566806e-05
"246",1.11066222960648e-05
"247",1.10834755654769e-05
"248",1.10379185010743e-05
"249",1.10203494501402e-05
"250",1.11216923537248e-05
"251",1.11077729518415e-05
"252",1.10992210952043e-05
"253",1.09894721941707e-05
"254",1.09828851882947e-05
"255",1.09862747563705e-05
"256",1.0910864508919e-05
"257",1.08835536015918e-05
"258",1.08916741318557e-05
"259",1.08649392903799e-05
"260",1.08606116125924e-05
"261",1.08982718699657e-05
"262",1.09481395973061e-05
"263",1.10212079331569e-05
"264",1.0973660817322e-05
"265",1.10023105697052e-05
"266",1.10283219724721e-05
"267",1.10915110168747e-05
"268",1.11258821390382e-05
"269",1.11778211111709e-05
"270",1.12167989587802e-05
"271",1.11526918368396e-05
"272",1.10163540200157e-05
"273",1.10707162890871e-05
"274",1.08976971354856e-05
"275",1.0925283569013e-05
"276",1.09662372471017e-05
"277",1.09408717257982e-05
"278",1.08743047653531e-05
"279",1.08688170122654e-05
"280",1.08045690929273e-05
"281",1.08264642374493e-05
"282",1.07974275147206e-05
"283",1.08067026077701e-05
"284",1.08078498087303e-05
"285",1.08860951088561e-05
"286",1.0894821012427e-05
"287",1.08349548363251e-05
"288",1.07504118451114e-05
"289",1.07667722425949e-05
"290",1.07100064774314e-05
"291",1.06874707185469e-05
"292",1.07706519541945e-05
"293",1.0777647861686e-05
"294",1.06621939775773e-05
"295",1.06208459616838e-05
"296",1.06324343619229e-05
"297",1.06110381703065e-05
"298",1.06719198204551e-05
"299",1.06657840887292e-05
"300",1.06465396621142e-05
"301",1.06175470367084e-05
"302",1.05717094315467e-05
"303",1.04982862992826e-05
"304",1.04600694790693e-05
"305",1.04863600170885e-05
"306",1.04164440533289e-05
"307",1.040083542884e-05
"308",1.04011064606611e-05
"309",1.04095662608666e-05
"310",1.04257119074254e-05
"311",1.04301737933321e-05
"312",1.04758188982698e-05
"313",1.04751196335889e-05
"314",1.04061229679644e-05
"315",1.04086224115873e-05
"316",1.04302347912738e-05
"317",1.0405618864462e-05
"318",1.04635566322842e-05
"319",1.04398879326619e-05
"320",1.04761394889973e-05
"321",1.05627893373286e-05
"322",1.05896089607863e-05
"323",1.06807840072134e-05
"324",1.07164565876939e-05
"325",1.07092566620842e-05
"326",1.07333185791545e-05
"327",1.07793094050811e-05
"328",1.08444913947892e-05
"329",1.09359834807207e-05
"330",1.08732329783403e-05
"331",1.09041007702117e-05
"332",1.08695577151783e-05
"333",1.08648047567948e-05
"334",1.09927190524737e-05
"335",1.10084962182083e-05
"336",1.10239859312041e-05
"337",1.0998575674095e-05
"338",1.09530885590065e-05
"339",1.10377513691919e-05
"340",1.10071838163048e-05
"341",1.10188161138193e-05
"342",1.10202556624937e-05
"343",1.10081008260639e-05
"344",1.10647747631463e-05
"345",1.11015526241411e-05
"346",1.10676325350301e-05
"347",1.09838334100686e-05
"348",1.09759442530683e-05
"349",1.09636879830787e-05
"350",1.08481043163496e-05
"351",1.09210229820709e-05
"352",1.0974320771618e-05
"353",1.09432262027731e-05
